"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "Markdown", "JSON", "HTML", "XML", "comment", "blank", "total"
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\layout\GLayout.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\layout\Mainlayout.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\lib\@reacticons\index.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 10, 98
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Blog\Blog.jsx", "JavaScript JSX", 0, 43, 0, 0, 0, 0, 0, 2, 1, 46
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Blog\BlogId\BlogId.jsx", "JavaScript JSX", 0, 77, 0, 0, 0, 0, 0, 4, 5, 86
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Blog\BlogId\styles.css", "CSS", 0, 0, 36, 0, 0, 0, 0, 0, 3, 39
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Blog\components\BlogList\BlogItem\BlogItem.jsx", "JavaScript JSX", 0, 48, 0, 0, 0, 0, 0, 0, 2, 50
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Blog\components\BlogList\BlogItem\styles.css", "CSS", 0, 0, 55, 0, 0, 0, 0, 0, 8, 63
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Blog\components\BlogList\BlogList.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Blog\components\EmptyList\EmptyList.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Blog\components\Taps\Taps.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 2, 45
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\FrequentlyAskPage\FrequentlyAskPage.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Home\Home.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Home\components\Advantages\Advantages.jsx", "JavaScript JSX", 0, 86, 0, 0, 0, 0, 0, 0, 19, 105
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Home\components\BestTherapist\BestTherapist.jsx", "JavaScript JSX", 0, 54, 0, 0, 0, 0, 0, 1, 14, 69
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Home\components\BestTherapist\CardBestTher.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Home\components\FrequentlyAsk\Accordion.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Home\components\FrequentlyAsk\FrequentlyAsk.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 9, 26
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Home\components\FrequentlyAsk\SectionAsk.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\pages\Home\components\Helps\Helps.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 0, 0, 1, 3, 32
